who_variant	pango_lineage	status	voi_designation_date	voc_designation_date	vum_designation_date
Alpha	B.1.1.7*,Q.*,XA,XC,AP.1,B.1.1.459	VOC	n/a	18-Dec-2020	n/a
Beta	B.1.351,B.1.351.*	VOC	n/a	18-Dec-2020	n/a
Gamma	P.1,P.1.*	VOC	n/a	11-Jan-2021	n/a
Delta	B.1.617.2,AY.*	VOC	04-Apr-2021	11-May-2021	n/a
Omicron	B.1.1.529,BA.*	VOC	n/a	26-Nov-2021	24-Nov-2021
Lambda	C.37,C.37.1	VOI	14-Jun-2021	n/a	n/a
Mu	B.1.621,B.1.621.1	VOI	30-Aug-2021	n/a	n/a
Kappa	B.1.617.1	VUM	4-Apr-2021	n/a	20-Sep-2021
Unnamed	B.1.1.318	VUM			02-Jun-2021
Unnamed	C.1.2	VUM	n/a	n/a	01-Sep-2021
Unnamed	B.1.640	VUM	n/a	n/a	22-Nov-2021
Unnamed	B.1.640.1	VUM	n/a	n/a	22-Nov-2021
Unnamed	B.1.640.2	VUM	n/a	n/a	22-Nov-2021
