variant	pango_lineage	variant_type	voi_designation_date	voc_designation_date	vum_designation_date	status
Alpha	B.1.1.7, B.1.1.7.*,Q.*,XA,XC,AP.1,B.1.1.459	VOC	n/a	18-Dec-2020	n/a	de_escalated
Beta	B.1.351,B.1.351.*	VOC	n/a	18-Dec-2020	n/a	de_escalated
Gamma	P.1,P.1.*	VOC	n/a	11-Jan-2021	n/a	de_escalated
Delta	B.1.617.2,AY.*	VOC	04-Apr-2021	11-May-2021	n/a	de_escalated
Epsilon	B.1.427,B.1.429,B.1.429.*	VOI	05-Mar-2021	n/a	n/a	de_escalated
Zeta	P.2	VOI	17-Mar-2021	n/a	n/a	de_escalated
Eta	B.1.525	VOI	17-Mar-2021	n/a	n/a	de_escalated
Theta	P.3	VOI	24-Mar-2021	n/a	n/a	de_escalated
Iota	B.1.526	VOI	24-Mar-2021	n/a	n/a	de_escalated
Kappa	B.1.617.1	VOI	04-Apr-2021	n/a	n/a	de_escalated
Lambda	C.37,C.37.*	VOI	14-Jun-2021	n/a	n/a	de_escalated
Mu	B.1.621,B.1.621.*,BB.2	VOI	30-Aug-2021	n/a	n/a	de_escalate
Omicron_BA.1	B.1.1.529.1,B.1.1.529.1*	VOC	n/a	26-Nov-2021	24-Nov-2021	actively_circulating
Omicron_BA.2	B.1.1.529.2,B.1.1.529.2*	VOC	n/a	26-Nov-2021	24-Nov-2021	actively_circulating
Omicron_BA.4	B.1.1.529.4,B.1.1.529.4*	VOC	n/a	26-Nov-2021	24-Nov-2021	actively_circulating
Omicron_BA.5	B.1.1.529.5,B.1.1.529.5*	VOC	n/a	26-Nov-2021	24-Nov-2021	actively_circulating
Recombinant	X*	n/a	n/a	n/a	n/a	n/a
