Issues / Notes	Dbxref	Ontology ID	parent class	Equivalence axiom	Subclass axiom	label	definition	references	definition source	alternative label	Reported	term tracker item	entity type	created	parent class ID	is about label	alt definition	is about	comment	example of usage	contributor	curation status	editor note	database cross reference	see also	Subclass ID	Subclass label	english exact synonym	english broad synonym	english narrow synonym	english related synonym																	
ORF1ab	GeneID:43740578	GENEPIO:0101134	gene name (SARS-CoV-2)			open reading frame 1ab gene (SARS-CoV-2)							Instance			orf1ab gene (SARS-CoV-2)'		GENEPIO:0100155													
ORF1ab	GeneID:43740578	GENEPIO:0101135	gene symbol (SARS-CoV-2)			orf1ab gene (SARS-CoV-2)							Instance			orf1ab gene (SARS-CoV-2)'		GENEPIO:0100155													
ORF1ab	YP_009724389.1	GENEPIO:0101136	protein name (SARS-CoV-2)			open reading frame 1ab polyprotein (SARS-CoV-2)							Instance			replicase polyprotein 1ab (SARS-CoV-2)		PR_P0DTD1-1													
ORF1ab	YP_009724389.1	GENEPIO:0101137	protein symbol (SARS-CoV-2)			Orf1ab protein (SARS-CoV-2)							Instance			replicase polyprotein 1ab (SARS-CoV-2)		PR_P0DTD1-1																						
ORF1a	YP_009724389.1	GENEPIO:0101140	protein name (SARS-CoV-2)			open reading frame 1a polyprotein (SARS-CoV-2)							Instance			replicase polyprotein 1a (SARS-CoV-2)		PR_P0DTC1-1													
ORF1a	YP_009724389.1	GENEPIO:0101141	protein symbol (SARS-CoV-2)			Orf1a protein (SARS-CoV-2)							Instance			replicase polyprotein 1a (SARS-CoV-2)		PR_P0DTC1-1													
S	GeneID:43740568	GENEPIO:0101142	gene name (SARS-CoV-2)			surface glycoprotein gene (SARS-CoV-2)							Instance			Spike gene (SARS-CoV-2)'		GENEPIO:0100154													
S	GeneID:43740568	GENEPIO:0101143	gene symbol (SARS-CoV-2)			s gene (SARS-CoV-2)							Instance			Spike gene (SARS-CoV-2)'		GENEPIO:0100154													
S	YP_009724390.1	GENEPIO:0101144	protein name (SARS-CoV-2)			surface glycoprotein (SARS-CoV-2)							Instance			spike glycoprotein (SARS-CoV-2)		PR_P0DTC2													
S	YP_009724390.1	GENEPIO:0101145	protein symbol (SARS-CoV-2)			S protein (SARS-CoV-2)							Instance			spike glycoprotein (SARS-CoV-2)		PR_P0DTC2													
ORF3a	GeneID:43740569	GENEPIO:0101146	gene name (SARS-CoV-2)			open reading frame 3a gene (SARS-CoV-2)							Instance			orf3a gene (SARS-CoV-2)'		GENEPIO:0100173													
ORF3a	GeneID:43740569	GENEPIO:0101147	gene symbol (SARS-CoV-2)			orf3a gene (SARS-CoV-2)							Instance			orf3a gene (SARS-CoV-2)'		GENEPIO:0100173													
ORF3a	YP_009724391.1	GENEPIO:0101148	protein name (SARS-CoV-2)			open reading frame 3a protein (SARS-CoV-2)							Instance			ORF3a protein (SARS-CoV-2)		PR_P0DTC3													
ORF3a	YP_009724391.1	GENEPIO:0101149	protein symbol (SARS-CoV-2)			Orf3a protein (SARS-CoV-2)							Instance			ORF3a protein (SARS-CoV-2)		PR_P0DTC3													
E	GeneID:43740570	GENEPIO:0101150	gene name (SARS-CoV-2)			envelope gene (SARS-CoV-2)							Instance			E gene (SARS-CoV-2)'		GENEPIO:0100151													
