Issues / Notes	Ontology ID	parent class	Equivalence axiom	Subclass axiom	label	definition	references	definition source	alternative label	Reported	term tracker item	entity type	created	parent class ID	is about label	alt definition	is about	comment	example of usage	contributor	curation status	editor note	database cross reference	see also	Subclass ID	Subclass label	english exact synonym	english broad synonym	english narrow synonym	english related synonym	Dbxref
	GENEPIO:0101207	gene name (MPOX)			orthopoxvirus gene 001 (MPOX)	A gene name that denotes the opg001 gene (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GeneID:72551607
	GENEPIO:0101207	gene name (MPOX)			orthopoxvirus gene 001 (MPOX)	A gene name that denotes the opg001 gene (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GeneID:72551595
	GENEPIO:0101208	gene name (MPOX)			orthopoxvirus gene 002 (MPOX)	A gene name that denotes the opg002 gene (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GeneID:72551418
	GENEPIO:0101208	gene name (MPOX)			orthopoxvirus gene 002 (MPOX)	A gene name that denotes the opg002 gene (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GeneID:72551594
	GENEPIO:0101209	gene name (MPOX)			orthopoxvirus gene 003 (MPOX)	A gene name that denotes the opg003 gene (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GeneID:72551419
	GENEPIO:0101209	gene name (MPOX)			orthopoxvirus gene 003 (MPOX)	A gene name that denotes the opg003 gene (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GeneID:72551593
	GENEPIO:0101210	gene name (MPOX)			orthopoxvirus gene 015 (MPOX)	A gene name that denotes the opg015 gene (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GeneID:72551420
	GENEPIO:0101210	gene name (MPOX)			orthopoxvirus gene 015 (MPOX)	A gene name that denotes the opg015 gene (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GeneID:72551592
	GENEPIO:0101211	gene name (MPOX)			orthopoxvirus gene 019 (MPOX)	A gene name that denotes the opg019 gene (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GeneID:72551421
	GENEPIO:0101212	gene name (MPOX)			orthopoxvirus gene 021 (MPOX)	A gene name that denotes the opg021 gene (MPOX).						Instance	2024-09-02T20:03:59.988Z							https://orcid.org/0000-0002-0548-891X											GeneID:72551422
